cd_curso,semestre,courseid,Users per course,Start Date,End Date,Course duration days,cuttoff_point
4977,S2,200146.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4977,S2,200166.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4977,S2,200170.0,3,2021-02-08,2021-06-18,131.0,2021-02-01
4977,S2,200188.0,18,2021-02-08,2021-06-18,131.0,2021-02-01
4977,S2,200202.0,16,2021-02-08,2021-06-18,131.0,2021-02-01
4977,S2,200203.0,16,2021-02-08,2021-06-18,131.0,2021-02-01
4977,S2,400019.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
4977,S2,400081.0,5,2021-02-08,2021-06-18,131.0,2021-02-01
4977,T1,200073.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4977,T1,200088.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4977,T1,200192.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4977,T1,200193.0,1,2020-09-07,2020-10-30,54.0,2020-08-31
4977,T1,200204.0,19,2020-09-07,2020-10-30,54.0,2020-08-31
4977,T2,200070.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
4977,T2,200191.0,2,2020-11-02,2021-01-22,82.0,2020-10-26
4977,T2,200195.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
4977,T2,200197.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
4977,T2,400020.0,2,2020-11-02,2021-01-22,82.0,2020-10-26
4977,T3,200068.0,1,2021-02-08,2021-04-09,61.0,2021-02-01
4977,T3,200210.0,1,2021-02-08,2021-04-09,61.0,2021-02-01
4977,T4,200194.0,4,2021-04-12,2021-06-11,61.0,2021-04-05
4977,T4,200200.0,3,2021-04-12,2021-06-11,61.0,2021-04-05
5381,S1,200032.0,1,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S1,200071.0,25,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S1,200165.0,11,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S1,200186.0,2,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S1,200187.0,11,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S1,200196.0,9,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S1,400024.0,42,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S1,400026.0,41,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S1,400082.0,7,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S1,400131.0,39,2020-09-07,2021-01-15,131.0,2020-08-31
5381,S2,200014.0,3,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,200049.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,200097.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,200135.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,200146.0,5,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,200162.0,5,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,200166.0,13,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,200167.0,9,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,200170.0,7,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,400009.0,40,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,400019.0,6,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,400023.0,40,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,400025.0,40,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,400055.0,1,2021-02-08,2021-06-18,131.0,2021-02-01
5381,S2,400081.0,3,2021-02-08,2021-06-18,131.0,2021-02-01
5381,T1,200192.0,8,2020-09-07,2020-10-30,54.0,2020-08-31
5381,T2,200195.0,1,2020-11-02,2021-01-22,82.0,2020-10-26
5381,T2,200197.0,5,2020-11-02,2021-01-22,82.0,2020-10-26
5381,T2,400020.0,6,2020-11-02,2021-01-22,82.0,2020-10-26
5381,T3,200068.0,7,2021-02-08,2021-04-09,61.0,2021-02-01
5381,T3,200210.0,4,2021-02-08,2021-04-09,61.0,2021-02-01
5381,T4,200194.0,1,2021-04-12,2021-06-11,61.0,2021-04-05
5381,T4,200200.0,2,2021-04-12,2021-06-11,61.0,2021-04-05
5381,T4,200217.0,7,2021-04-12,2021-06-11,61.0,2021-04-05
5582,S1,300003.0,18,2020-09-07,2021-01-15,131.0,2020-08-31
5582,S1,300031.0,10,2020-09-07,2021-01-15,131.0,2020-08-31
