,id,category,sortorder,fullname,shortname,idnumber,summary,summaryformat,format,showgrades,newsitems,startdate,marker,maxbytes,legacyfiles,showreports,visible,visibleold,groupmode,groupmodeforce,defaultgroupingid,lang,calendartype,theme,timecreated,timemodified,requested,enablecompletion,completionnotify,cacherev
1390,1410.0,1.0,12578.0,nombre,"T_1C,A_13462","T_1C,A_13462",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307616668.0,1328525655.0,0.0,0.0,0.0,1425313993.0
1391,1411.0,1.0,12577.0,nombre,"T_1C,A_13908","T_1C,A_13908",-,1.0,topics,1.0,1.0,1417042800.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307614764.0,1417107753.0,0.0,0.0,0.0,1425313993.0
1392,1412.0,1.0,12576.0,nombre,"T_1C,A_13465","T_1C,A_13465",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307621230.0,1307621230.0,0.0,0.0,0.0,1425313993.0
1393,1413.0,1.0,12575.0,nombre,"T_1C,A_13887","T_1C,A_13887",-,0.0,topics,0.0,5.0,1411423200.0,0.0,41943040.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1350304470.0,1411474546.0,0.0,0.0,0.0,1425313993.0
1394,1414.0,1.0,12574.0,nombre,"T_1C,A_13514","T_1C,A_13514",-,1.0,topics,1.0,1.0,1391382000.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1315934024.0,1391436303.0,0.0,0.0,0.0,1425313993.0
1395,1415.0,1.0,12573.0,nombre,"T_1C,A_13915","T_1C,A_13915",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307619918.0,1316679004.0,0.0,0.0,0.0,1425313993.0
1396,1416.0,1.0,12572.0,nombre,"T_1C,A_13509","T_1C,A_13509",-,0.0,topics,1.0,5.0,0.0,0.0,41943040.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1353312358.0,1353312358.0,0.0,0.0,0.0,1425313993.0
1397,1417.0,1.0,12571.0,nombre,"T_1C,A_13955","T_1C,A_13955",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1317655834.0,1317656305.0,0.0,0.0,0.0,1425313993.0
1398,1418.0,1.0,12570.0,nombre,"T_1C,A_13907","T_1C,A_13907",-,1.0,topics,1.0,1.0,1416870000.0,0.0,41943040.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,1307620840.0,1416920547.0,0.0,0.0,0.0,1435570032.0
1399,1419.0,1.0,12569.0,nombre,"T_1C,A_13415","T_1C,A_13415",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307614838.0,1307614838.0,0.0,0.0,0.0,1425313993.0
1400,1420.0,1.0,12568.0,nombre,"T_1C,A_13936","T_1C,A_13936",-,1.0,topics,1.0,1.0,1379973600.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307607253.0,1380011524.0,0.0,0.0,0.0,1425313993.0
1401,1421.0,1.0,12567.0,nombre,"T_1C,A_13422","T_1C,A_13422",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307608994.0,1319025798.0,0.0,0.0,0.0,1425313993.0
1402,1422.0,1.0,12566.0,nombre,"T_1C,A_13921","T_1C,A_13921",-,1.0,topics,1.0,1.0,1438034400.0,0.0,41943040.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1316508569.0,1438083317.0,0.0,0.0,0.0,1438083317.0
1403,1423.0,1.0,12565.0,nombre,"T_1C,A_13909,G_((C))","T_1C,A_13909,G_((C))",-,0.0,topics,0.0,5.0,1389826800.0,4.0,41943040.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1347951766.0,1389875650.0,0.0,0.0,0.0,1425313993.0
1404,1424.0,1.0,12564.0,nombre,"T_1C,A_13946","T_1C,A_13946",-,0.0,topics,1.0,5.0,1410213600.0,0.0,41943040.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1359721219.0,1410261224.0,0.0,0.0,0.0,1438071022.0
1405,1425.0,1.0,12563.0,nombre,"T_1C,A_13510","T_1C,A_13510",-,1.0,topics,1.0,1.0,1410645600.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307614776.0,1410722864.0,0.0,0.0,0.0,1425313993.0
1406,1426.0,1.0,12562.0,nombre,"T_1C,A_13783","T_1C,A_13783",-,1.0,topics,1.0,1.0,1421967600.0,0.0,41943040.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,1307605688.0,1422012889.0,0.0,0.0,0.0,1425313993.0
1407,1427.0,1.0,12561.0,nombre,"T_1C,A_13395","T_1C,A_13395",-,1.0,topics,1.0,1.0,943916400.0,0.0,41943040.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,1307609058.0,1328006806.0,0.0,0.0,0.0,1425313993.0
